"","ID","season","name","team","position","situation","games_played","icetime","shifts","iceTimeRank","expectedGoals","corsi","shotAttempts","points","goals","faceoffsWon","takeways","giveaways","hits"
"1",8471817,2022,"Ryan Reaves","MIN","R","5on5",73,40382,877,731,0.46,0.45,78,15,5,4,15,16,196
"2",8480950,2022,"Ilya Lyubushkin","BUF","D","5on5",68,52172,1252,340,0.46,0.48,76,11,1,0,21,18,83
"3",8475625,2022,"Matt Irwin","WSH","D","5on5",61,44257,977,336,0.46,0.48,139,5,2,0,9,17,114
"4",8480860,2022,"Kevin Bahl","NJD","D","5on5",42,32939,750,233,0.57,0.55,79,8,2,0,6,11,59
"5",8478047,2022,"Michael Bunting","TOR","L","5on5",82,67047,1404,389,0.56,0.52,244,36,14,1,47,37,83
"6",8480113,2022,"Alex Iafallo","LAK","L","5on5",59,44053,983,415,0.53,0.52,167,24,6,6,24,7,26
"7",8473604,2022,"Jonathan Toews","CHI","C","5on5",53,41769,885,301,0.38,0.44,83,14,4,384,30,32,7
"8",8473446,2022,"Erik Johnson","COL","D","5on5",63,56204,1305,267,0.49,0.48,175,7,0,0,13,16,104
"9",8478891,2022,"Mason Appleton","WPG","C","5on5",41,32671,704,205,0.55,0.51,98,12,3,1,9,9,41
"10",8474641,2022,"Adam Henrique","ANA","C","5on5",62,47265,1069,388,0.46,0.46,150,25,15,131,14,27,26
"11",8480028,2022,"Morgan Frost","PHI","C","5on5",81,65004,1472,435,0.49,0.48,214,36,16,370,30,17,83
"12",8478569,2022,"Noel Acciari","TOR","C","5on5",77,56676,1172,541,0.5,0.45,159,17,10,290,25,10,238
"13",8478046,2022,"Danton Heinen","PIT","L","5on5",65,38605,904,577,0.53,0.51,149,20,7,2,22,15,76
"14",8475149,2022,"Marcus Johansson","MIN","L","5on5",80,59274,1195,531,0.52,0.51,168,24,12,17,24,24,19
"15",8476878,2022,"Zemgus Girgensons","BUF","L","5on5",80,54049,1233,685,0.49,0.52,187,14,9,57,19,8,92
"16",8482660,2022,"Kent Johnson","CBJ","C","5on5",79,58507,1211,496,0.42,0.45,162,24,9,38,25,31,12
"17",8477494,2022,"Jonathan Drouin","MTL","L","5on5",58,42482,872,382,0.43,0.47,100,18,2,154,29,17,28
"18",8477330,2022,"Dominik Kubalik","DET","L","5on5",81,58379,1252,571,0.47,0.46,205,24,12,10,11,15,85
"19",8479520,2022,"Brandon Duhaime","MIN","R","5on5",51,29795,683,492,0.51,0.47,129,9,8,2,17,10,139
"20",8476439,2022,"Brett Ritchie","ARI","R","5on5",50,29324,699,462,0.48,0.53,111,12,8,2,10,18,77
"21",8474166,2022,"Alec Martinez","VGK","D","5on5",77,77980,1593,273,0.53,0.46,184,10,1,0,27,29,44
"22",8481704,2022,"Juuso Parssinen","NSH","C","5on5",45,32732,668,290,0.52,0.47,73,15,3,140,23,12,72
"23",8471303,2022,"Alexander Edler","LAK","D","5on5",64,50696,959,334,0.5,0.51,151,11,2,0,4,24,101
"24",8476329,2022,"Travis Boyd","ARI","C","5on5",82,62683,1451,484,0.41,0.43,123,21,12,385,28,20,34
"25",8473449,2022,"Kyle Okposo","BUF","R","5on5",75,56088,1186,484,0.49,0.53,208,19,6,130,21,19,73
"26",8475906,2022,"John Klingberg","MIN","D","5on5",67,69562,1326,192,0.39,0.43,164,19,6,0,16,38,54
"27",8478397,2022,"Rasmus Andersson","CGY","D","5on5",79,85469,2063,187,0.54,0.53,206,24,8,0,21,41,40
"28",8477499,2022,"Rasmus Ristolainen","PHI","D","5on5",74,69633,1593,327,0.48,0.46,140,11,1,0,19,38,139
"29",8477220,2022,"Nate Schmidt","WPG","D","5on5",71,64939,1366,283,0.54,0.52,202,13,4,0,20,40,42
"30",8474189,2022,"Lars Eller","COL","C","5on5",84,63558,1367,455,0.53,0.52,244,18,8,450,34,31,88
"31",8478851,2022,"Alexandre Carrier","NSH","D","5on5",43,37991,785,171,0.52,0.49,87,6,1,0,11,11,51
"32",8480336,2022,"Sean Walker","LAK","D","5on5",70,55703,1082,364,0.52,0.52,177,11,3,0,11,29,63
"33",8475793,2022,"Ryan Johansen","NSH","C","5on5",55,38875,843,395,0.5,0.51,91,15,6,362,19,17,42
"34",8480222,2022,"Sebastian Aho","NYI","D","5on5",71,64408,1368,313,0.54,0.53,171,19,4,0,12,34,36
"35",8480068,2022,"Ryan Poehling","PIT","C","5on5",53,29097,720,525,0.51,0.5,96,10,4,122,19,3,53
"36",8478463,2022,"Anthony Beauvillier","VAN","L","5on5",82,67061,1448,338,0.48,0.49,213,29,12,2,32,28,75
"37",8480901,2022,"Karson Kuhlman","WPG","C","5on5",47,29949,685,384,0.51,0.5,110,6,2,0,12,12,41
"38",8475225,2022,"Craig Smith","WSH","C","5on5",64,40482,960,562,0.5,0.5,170,15,9,2,22,21,47
"39",8481477,2022,"Nico Sturm","SJS","C","5on5",74,52023,1253,566,0.47,0.46,161,24,12,388,29,16,94
"40",8475287,2022,"Erik Haula","NJD","L","5on5",80,63105,1385,475,0.57,0.55,244,27,10,470,37,24,88
"41",8479336,2022,"Carl Grundstrom","LAK","R","5on5",57,34207,753,497,0.54,0.52,162,18,11,3,14,15,141
"42",8471214,2022,"Alex Ovechkin","WSH","L","5on5",73,63569,1371,221,0.48,0.49,329,40,20,4,20,42,179
"43",8477953,2022,"Kasperi Kapanen","STL","R","5on5",66,44586,1003,488,0.42,0.47,148,24,8,27,15,17,93
"44",8470600,2022,"Ryan Suter","DAL","D","5on5",82,82700,1612,247,0.53,0.53,203,20,3,0,20,35,69
"45",8479984,2022,"Cal Foote","NSH","D","5on5",50,41259,812,248,0.44,0.46,79,7,2,0,8,16,56
"46",8475462,2022,"Radko Gudas","FLA","D","5on5",72,61662,1324,306,0.58,0.56,226,17,2,0,16,29,279
"47",8481554,2022,"Kaapo Kakko","NYR","R","5on5",82,66975,1239,433,0.51,0.52,199,32,15,1,40,26,25
