"","ID","season","name","team","position","situation","games_played","icetime","shifts","iceTimeRank","expectedGoals","corsi","shotAttempts","points","goals","faceoffsWon","takeways","giveaways","hits"
"1",8471817,2022,"Ryan Reaves","MIN","R","5on4",73,98,6,52,0,0.5,0,0,0,0,0,0,0
"2",8480950,2022,"Ilya Lyubushkin","BUF","D","5on4",68,84,4,28,0,0,0,0,0,0,0,0,0
"3",8475625,2022,"Matt Irwin","WSH","D","5on4",61,10,3,13,1,1,0,0,0,0,0,0,0
"4",8480860,2022,"Kevin Bahl","NJD","D","5on4",42,105,5,22,0,0,0,0,0,0,0,0,0
"5",8478047,2022,"Michael Bunting","TOR","L","5on4",82,8874,161,399,0.79,0.84,43,9,6,0,1,1,2
"6",8480113,2022,"Alex Iafallo","LAK","L","5on4",59,5620,114,286,0.94,0.9,32,8,7,0,1,2,0
"7",8473604,2022,"Jonathan Toews","CHI","C","5on4",53,8435,106,171,0.81,0.84,37,11,9,109,1,8,0
"8",8473446,2022,"Erik Johnson","COL","D","5on4",63,67,3,33,0,0,0,0,0,0,0,0,0
"9",8478891,2022,"Mason Appleton","WPG","C","5on4",41,326,16,116,0.86,0.67,1,1,1,0,0,0,0
"10",8474641,2022,"Adam Henrique","ANA","C","5on4",62,9158,139,216,0.88,0.89,58,10,4,100,0,3,2
"11",8480028,2022,"Morgan Frost","PHI","C","5on4",81,9999,163,324,0.79,0.82,41,5,1,43,1,8,0
"12",8478569,2022,"Noel Acciari","TOR","C","5on4",77,636,33,257,0.9,0.82,1,0,0,4,0,0,0
"13",8478046,2022,"Danton Heinen","PIT","L","5on4",65,2912,73,251,0.86,0.79,13,2,1,0,1,1,0
"14",8475149,2022,"Marcus Johansson","MIN","L","5on4",80,12887,179,301,0.87,0.87,38,14,3,2,4,6,7
"15",8476878,2022,"Zemgus Girgensons","BUF","L","5on4",80,270,21,184,0.94,0.8,1,1,0,2,0,0,0
"16",8482660,2022,"Kent Johnson","CBJ","C","5on4",79,7669,151,372,0.79,0.85,34,11,5,3,0,9,2
"17",8477494,2022,"Jonathan Drouin","MTL","L","5on4",58,7029,112,247,0.69,0.8,15,9,0,7,1,2,0
"18",8477330,2022,"Dominik Kubalik","DET","L","5on4",81,11310,198,366,0.91,0.88,90,15,6,5,1,4,3
"19",8479520,2022,"Brandon Duhaime","MIN","R","5on4",51,115,7,63,1,1,0,0,0,1,0,0,0
"20",8476439,2022,"Brett Ritchie","ARI","R","5on4",50,577,25,162,0.62,0.82,0,1,0,0,0,0,0
"21",8474166,2022,"Alec Martinez","VGK","D","5on4",77,698,37,83,0.97,0.69,2,0,0,0,0,0,0
"22",8481704,2022,"Juuso Parssinen","NSH","C","5on4",45,4997,90,214,0.86,0.84,15,8,1,9,1,4,3
"23",8471303,2022,"Alexander Edler","LAK","D","5on4",64,103,10,36,1,1,1,0,0,0,0,0,0
"24",8476329,2022,"Travis Boyd","ARI","C","5on4",82,11318,177,327,0.8,0.81,33,10,2,65,0,9,1
"25",8473449,2022,"Kyle Okposo","BUF","R","5on4",75,3504,83,353,0.82,0.82,10,3,0,10,1,3,0
"26",8475906,2022,"John Klingberg","MIN","D","5on4",67,9429,129,110,0.84,0.89,81,10,2,0,2,7,0
"27",8478397,2022,"Rasmus Andersson","CGY","D","5on4",79,13452,189,98,0.9,0.88,65,20,1,0,4,3,4
"28",8477499,2022,"Rasmus Ristolainen","PHI","D","5on4",74,3311,70,122,0.9,0.77,17,5,1,0,2,1,3
"29",8477220,2022,"Nate Schmidt","WPG","D","5on4",71,6717,158,150,0.87,0.87,29,4,2,0,1,4,0
"30",8474189,2022,"Lars Eller","COL","C","5on4",84,818,33,212,0.86,0.82,2,0,0,10,0,0,0
"31",8478851,2022,"Alexandre Carrier","NSH","D","5on4",43,1382,42,63,0.74,0.71,4,0,0,0,0,0,0
"32",8480336,2022,"Sean Walker","LAK","D","5on4",70,881,22,59,0.95,0.88,5,1,0,0,0,0,0
"33",8475793,2022,"Ryan Johansen","NSH","C","5on4",55,9725,134,154,0.85,0.86,50,10,5,91,0,4,3
"34",8480222,2022,"Sebastian Aho","NYI","D","5on4",71,2594,77,112,0.85,0.79,8,2,0,0,0,2,1
"35",8480068,2022,"Ryan Poehling","PIT","C","5on4",53,210,14,147,0.63,0.78,0,0,0,2,0,0,0
"36",8478463,2022,"Anthony Beauvillier","VAN","L","5on4",82,9480,170,354,0.83,0.86,49,4,3,0,0,5,1
"37",8480901,2022,"Karson Kuhlman","WPG","C","5on4",47,187,14,117,0,0.33,0,0,0,0,0,0,0
"38",8475225,2022,"Craig Smith","WSH","C","5on4",64,1191,28,127,0.64,0.78,7,1,0,0,0,0,1
"39",8481477,2022,"Nico Sturm","SJS","C","5on4",74,3144,87,369,0.73,0.82,11,0,0,20,2,1,1
"40",8475287,2022,"Erik Haula","NJD","L","5on4",80,5339,132,447,0.92,0.85,26,7,2,35,0,3,0
"41",8479336,2022,"Carl Grundstrom","LAK","R","5on4",57,385,25,181,1,0.93,5,1,1,0,0,0,0
"42",8471214,2022,"Alex Ovechkin","WSH","L","5on4",73,19703,137,93,0.87,0.88,181,22,13,0,7,6,7
"43",8477953,2022,"Kasperi Kapanen","STL","R","5on4",66,5497,112,286,0.78,0.84,16,6,3,0,0,3,2
"44",8470600,2022,"Ryan Suter","DAL","D","5on4",82,7749,168,168,0.89,0.83,27,4,0,0,1,3,1
"45",8479984,2022,"Cal Foote","NSH","D","5on4",50,389,13,22,0.75,0.56,0,0,0,0,0,0,0
"46",8475462,2022,"Radko Gudas","FLA","D","5on4",72,643,45,148,0.64,0.6,2,0,0,0,0,0,0
"47",8481554,2022,"Kaapo Kakko","NYR","R","5on4",82,4313,127,404,0.91,0.81,14,3,0,0,1,2,0
"48",8476891,2022,"Matt Grzelcyk","BOS","D","5on4",75,1887,57,117,0.6,0.78,8,0,0,0,0,3,1
"49",8479368,2022,"Max Jones","ANA","L","5on4",69,1311,30,139,0.94,0.94,5,0,0,0,0,0,1
"50",8476921,2022,"Jordan Martinook","CAR","L","5on4",82,484,52,373,0.42,0.83,2,0,0,0,0,0,0
"51",8480887,2022,"Jordan Harris","MTL","D","5on4",65,247,21,68,0.95,0.71,1,1,0,0,0,0,0
"52",8480806,2022,"Isac Lundestrom","ANA","C","5on4",61,761,29,179,0.89,0.83,2,0,0,4,0,0,0
"53",8475177,2022,"Calvin de Haan","CAR","D","5on4",53,53,6,36,1,1,0,0,0,0,0,0,0
"54",8475913,2022,"Mark Stone","VGK","R","5on4",43,6761,88,114,0.88,0.87,36,9,3,0,2,3,1
"55",8476988,2022,"Matt Benning","SJS","D","5on4",77,3699,109,144,0.66,0.77,7,1,0,0,1,0,2
"56",8478402,2022,"Connor McDavid","EDM","C","5on4",82,18285,129,187,0.95,0.91,159,64,17,21,5,22,5
"57",8482175,2022,"JJ Peterka","BUF","R","5on4",77,6339,135,380,0.81,0.82,29,5,2,0,0,3,0
"58",8478500,2022,"Ivan Provorov","PHI","D","5on4",82,3698,106,162,0.72,0.79,20,2,0,0,1,0,2
"59",8478115,2022,"Pierre Engvall","NYI","L","5on4",76,4351,105,349,0.74,0.75,13,3,1,10,0,3,2
"60",8477507,2022,"Nikita Zadorov","CGY","D","5on4",82,983,54,160,0.91,0.87,3,1,0,0,0,0,1
